Membrane,Finn-Shaker16thDownbeat,Shaker,SharpHi-Hat,HumanClap,Finn-Snap,HumanClap,RetroRockKit,HeavyKick,RetroRockKit,MetalMachine
9,,,,,,,,,,
10,,,,,,,,,,
10.3125,,,,,,,,,,
10.6875,,,,,,,,,,
10.9375,,,,,,,,,,
12,,,,,,,,,,
12.375,,,,,,,,,,
12.6875,,,,,,,,,,
12.9375,,,,,,,,,,
14,,,,,,,,,,
14.375,,,,,,,,,,
14.6875,,,,,,,,,,
15,,,,,,,,,,
16,,,,,,,,,,
16.375,,,,,,,,,,
16.75,,,,,,,,,,
17,,,,,,,,,,
18,,,,,,,,,,
18.375,,,,,,,,,,
18.6875,,,,,,,,,,
19,,,,,,,,,,
20,,,,,,,,,,
20.375,,,,,,,,,,
20.75,,,,,,,,,,
21,,,,,,,,,,
22,,,,,,,,,,
22.375,,,,,,,,,,
22.6875,,,,,,,,,,
23,,,,,,,,,,
10,,,,,,,,,,
10.375,,,,,,,,,,
10.75,,,,,,,,,,
11,,,,,,,,,,
12,,,,,,,,,,
12.3125,,,,,,,,,,
12.6875,,,,,,,,,,
12.9375,,,,,,,,,,
14,,,,,,,,,,
14.375,,,,,,,,,,
14.6875,,,,,,,,,,
14.9375,,,,,,,,,,
16,,,,,,,,,,
16.375,,,,,,,,,,
16.6875,,,,,,,,,,
17,,,,,,,,,,
18,,,,,,,,,,
18.375,,,,,,,,,,
18.75,,,,,,,,,,
19,,,,,,,,,,
20,,,,,,,,,,
20.375,,,,,,,,,,
20.6875,,,,,,,,,,
21,,,,,,,,,,
22,,,,,,,,,,
22.375,,,,,,,,,,
22.75,,,,,,,,,,
23,,,,,,,,,,
24,,,,,,,,,,
24.375,,,,,,,,,,
24.6875,,,,,,,,,,
25,,,,,,,,,,
12,,,,,,,,,,
12.375,,,,,,,,,,
12.75,,,,,,,,,,
13,,,,,,,,,,
14,,,,,,,,,,
14.3125,,,,,,,,,,
14.6875,,,,,,,,,,
14.9375,,,,,,,,,,
16,,,,,,,,,,
16.375,,,,,,,,,,
16.6875,,,,,,,,,,
16.9375,,,,,,,,,,
18,,,,,,,,,,
18.375,,,,,,,,,,
18.6875,,,,,,,,,,
19,,,,,,,,,,
20,,,,,,,,,,
20.375,,,,,,,,,,
20.75,,,,,,,,,,
21,,,,,,,,,,
22,,,,,,,,,,
22.375,,,,,,,,,,
22.6875,,,,,,,,,,
23,,,,,,,,,,
24,,,,,,,,,,
24.375,,,,,,,,,,
24.75,,,,,,,,,,
25,,,,,,,,,,
26,,,,,,,,,,
26.375,,,,,,,,,,
26.6875,,,,,,,,,,
27,,,,,,,,,,
14,,,,,,,,,,
14.375,,,,,,,,,,
14.75,,,,,,,,,,
15,,,,,,,,,,
16,,,,,,,,,,
16.3125,,,,,,,,,,
16.6875,,,,,,,,,,
16.9375,,,,,,,,,,
18,,,,,,,,,,
18.375,,,,,,,,,,
18.6875,,,,,,,,,,
18.9375,,,,,,,,,,
20,,,,,,,,,,
20.375,,,,,,,,,,
20.6875,,,,,,,,,,
21,,,,,,,,,,
22,,,,,,,,,,
22.375,,,,,,,,,,
22.75,,,,,,,,,,
23,,,,,,,,,,
24,,,,,,,,,,
24.375,,,,,,,,,,
24.6875,,,,,,,,,,
25,,,,,,,,,,
26,,,,,,,,,,
26.375,,,,,,,,,,
26.75,,,,,,,,,,
27,,,,,,,,,,
28,,,,,,,,,,
28.375,,,,,,,,,,
28.6875,,,,,,,,,,
29,,,,,,,,,,
16,,,,,,,,,,
16.375,,,,,,,,,,
16.75,,,,,,,,,,
17,,,,,,,,,,
18,,,,,,,,,,
18.3125,,,,,,,,,,
18.6875,,,,,,,,,,
18.9375,,,,,,,,,,
20,,,,,,,,,,
20.375,,,,,,,,,,
20.6875,,,,,,,,,,
20.9375,,,,,,,,,,
22,,,,,,,,,,
22.375,,,,,,,,,,
22.6875,,,,,,,,,,
23,,,,,,,,,,
24,,,,,,,,,,
24.375,,,,,,,,,,
24.75,,,,,,,,,,
25,,,,,,,,,,
26,,,,,,,,,,
26.375,,,,,,,,,,
26.6875,,,,,,,,,,
27,,,,,,,,,,
28,,,,,,,,,,
28.375,,,,,,,,,,
28.75,,,,,,,,,,
29,,,,,,,,,,
30,,,,,,,,,,
30.375,,,,,,,,,,
30.6875,,,,,,,,,,
31,,,,,,,,,,
18,,,,,,,,,,
18.375,,,,,,,,,,
18.75,,,,,,,,,,
19,,,,,,,,,,
20,,,,,,,,,,
20.3125,,,,,,,,,,
20.6875,,,,,,,,,,
20.9375,,,,,,,,,,
22,,,,,,,,,,
22.375,,,,,,,,,,
22.6875,,,,,,,,,,
22.9375,,,,,,,,,,
24,,,,,,,,,,
24.375,,,,,,,,,,
24.6875,,,,,,,,,,
25,,,,,,,,,,
26,,,,,,,,,,
26.375,,,,,,,,,,
26.75,,,,,,,,,,
27,,,,,,,,,,
28,,,,,,,,,,
28.375,,,,,,,,,,
28.6875,,,,,,,,,,
29,,,,,,,,,,
30,,,,,,,,,,
30.375,,,,,,,,,,
30.75,,,,,,,,,,
31,,,,,,,,,,
32,,,,,,,,,,
32.375,,,,,,,,,,
32.6875,,,,,,,,,,
33,,,,,,,,,,
20,,,,,,,,,,
20.375,,,,,,,,,,
20.75,,,,,,,,,,
21,,,,,,,,,,
22,,,,,,,,,,
22.3125,,,,,,,,,,
22.6875,,,,,,,,,,
22.9375,,,,,,,,,,
24,,,,,,,,,,
24.375,,,,,,,,,,
24.6875,,,,,,,,,,
24.9375,,,,,,,,,,
26,,,,,,,,,,
26.375,,,,,,,,,,
26.6875,,,,,,,,,,
27,,,,,,,,,,
28,,,,,,,,,,
28.375,,,,,,,,,,
28.75,,,,,,,,,,
29,,,,,,,,,,
30,,,,,,,,,,
30.375,,,,,,,,,,
30.6875,,,,,,,,,,
31,,,,,,,,,,
32,,,,,,,,,,
32.375,,,,,,,,,,
32.75,,,,,,,,,,
33,,,,,,,,,,
34,,,,,,,,,,
34.375,,,,,,,,,,
34.6875,,,,,,,,,,
35,,,,,,,,,,
22,,,,,,,,,,
22.375,,,,,,,,,,
22.75,,,,,,,,,,
23,,,,,,,,,,
24,,,,,,,,,,
24.3125,,,,,,,,,,
24.6875,,,,,,,,,,
24.9375,,,,,,,,,,
26,,,,,,,,,,
26.375,,,,,,,,,,
26.6875,,,,,,,,,,
26.9375,,,,,,,,,,
28,,,,,,,,,,
28.375,,,,,,,,,,
28.6875,,,,,,,,,,
29,,,,,,,,,,
30,,,,,,,,,,
30.375,,,,,,,,,,
30.75,,,,,,,,,,
31,,,,,,,,,,
32,,,,,,,,,,
32.375,,,,,,,,,,
32.6875,,,,,,,,,,
33,,,,,,,,,,
34,,,,,,,,,,
34.375,,,,,,,,,,
34.75,,,,,,,,,,
35,,,,,,,,,,
36,,,,,,,,,,
36.375,,,,,,,,,,
36.6875,,,,,,,,,,
37,,,,,,,,,,
24,,,,,,,,,,
24.375,,,,,,,,,,
24.75,,,,,,,,,,
25,,,,,,,,,,
26,,,,,,,,,,
26.3125,,,,,,,,,,
26.6875,,,,,,,,,,
26.9375,,,,,,,,,,
28,,,,,,,,,,
28.375,,,,,,,,,,
28.6875,,,,,,,,,,
28.9375,,,,,,,,,,
30,,,,,,,,,,
30.375,,,,,,,,,,
30.6875,,,,,,,,,,
31,,,,,,,,,,
32,,,,,,,,,,
32.375,,,,,,,,,,
32.75,,,,,,,,,,
33,,,,,,,,,,
34,,,,,,,,,,
34.375,,,,,,,,,,
34.6875,,,,,,,,,,
35,,,,,,,,,,
36,,,,,,,,,,
36.375,,,,,,,,,,
36.75,,,,,,,,,,
37,,,,,,,,,,
38,,,,,,,,,,
38.375,,,,,,,,,,
38.6875,,,,,,,,,,
39,,,,,,,,,,
28,,,,,,,,,,
28.375,,,,,,,,,,
28.75,,,,,,,,,,
29,,,,,,,,,,
30,,,,,,,,,,
30.3125,,,,,,,,,,
30.6875,,,,,,,,,,
30.9375,,,,,,,,,,
32,,,,,,,,,,
32.375,,,,,,,,,,
32.6875,,,,,,,,,,
32.9375,,,,,,,,,,
30,,,,,,,,,,
30.375,,,,,,,,,,
30.75,,,,,,,,,,
31,,,,,,,,,,
32,,,,,,,,,,
32.3125,,,,,,,,,,
32.6875,,,,,,,,,,
32.9375,,,,,,,,,,
34,,,,,,,,,,
34.375,,,,,,,,,,
34.6875,,,,,,,,,,
34.9375,,,,,,,,,,
32,,,,,,,,,,
32.375,,,,,,,,,,
32.75,,,,,,,,,,
33,,,,,,,,,,
34,,,,,,,,,,
34.3125,,,,,,,,,,
34.6875,,,,,,,,,,
34.9375,,,,,,,,,,
36,,,,,,,,,,
36.375,,,,,,,,,,
36.6875,,,,,,,,,,
36.9375,,,,,,,,,,
34,,,,,,,,,,
34.375,,,,,,,,,,
34.75,,,,,,,,,,
36,,,,,,,,,,
36.375,,,,,,,,,,
36.75,,,,,,,,,,
37,,,,,,,,,,
38,,,,,,,,,,
38.3125,,,,,,,,,,
38.6875,,,,,,,,,,
38.9375,,,,,,,,,,
40,,,,,,,,,,
40.375,,,,,,,,,,
40.6875,,,,,,,,,,
40.9375,,,,,,,,,,
38,,,,,,,,,,
38.375,,,,,,,,,,
38.75,,,,,,,,,,
39,,,,,,,,,,
40,,,,,,,,,,
40.3125,,,,,,,,,,
40.6875,,,,,,,,,,
40.9375,,,,,,,,,,
42,,,,,,,,,,
42.375,,,,,,,,,,
42.6875,,,,,,,,,,
42.9375,,,,,,,,,,
40,,,,,,,,,,
40.375,,,,,,,,,,
40.75,,,,,,,,,,
41,,,,,,,,,,
42,,,,,,,,,,
42.3125,,,,,,,,,,
42.6875,,,,,,,,,,
42.9375,,,,,,,,,,
44,,,,,,,,,,
44.375,,,,,,,,,,
44.6875,,,,,,,,,,
44.9375,,,,,,,,,,
42,,,,,,,,,,
42.375,,,,,,,,,,
42.75,,,,,,,,,,
43,,,,,,,,,,
FIELD497,,,,,,,,,,
